,NUMERO_EKOGUI,ID_ENTIDAD,PROBA_FAVORABLE,CATEGORIA_PREDICCION
266884,330076,405,0.1223021583,DESFAVORABLE
105582,127176,426,0.6521400778,FAVORABLE
441714,621942,405,0.1223021583,DESFAVORABLE
440767,620471,115,0.3647058824,DESFAVORABLE
10973,102473,232,0.6521400778,FAVORABLE
345528,475312,433,0.357827476,DESFAVORABLE
554734,835189,405,0.1223021583,DESFAVORABLE
197777,211057,356,0.2981651376,DESFAVORABLE
642035,999135,405,0.1223021583,DESFAVORABLE
452032,632529,405,0.3390342052,DESFAVORABLE
22707,1052109,405,0.1223021583,DESFAVORABLE
440081,619634,114,0.2547425474,DESFAVORABLE
611805,928781,405,0.1223021583,DESFAVORABLE
65275,1156700,356,0.2981651376,DESFAVORABLE
65253,1156649,405,0.1223021583,DESFAVORABLE
409348,573411,405,0.1223021583,DESFAVORABLE
345106,474857,433,0.357827476,DESFAVORABLE
526301,777105,115,0.3647058824,DESFAVORABLE
113757,1303220,356,0.4208037825,DESFAVORABLE
80575,1200881,356,0.2981651376,DESFAVORABLE
535601,796727,405,0.1223021583,DESFAVORABLE
419854,589967,405,0.3390342052,DESFAVORABLE
288143,368498,405,0.3390342052,DESFAVORABLE
607362,923903,405,0.1223021583,DESFAVORABLE
82863,120620,408,0.6521400778,FAVORABLE
95234,1238544,356,0.4208037825,DESFAVORABLE
448948,629352,405,0.1223021583,DESFAVORABLE
605979,922411,405,0.1223021583,DESFAVORABLE
51089,1119955,405,0.1223021583,DESFAVORABLE
543866,813435,356,0.2981651376,DESFAVORABLE
317712,424924,405,0.3390342052,DESFAVORABLE
6115,1014511,405,0.1223021583,DESFAVORABLE
428645,60230,405,0.1223021583,DESFAVORABLE
178287,197870,169,0.8177339901,FAVORABLE
353638,488775,356,0.2981651376,DESFAVORABLE
223305,248620,405,0.1223021583,DESFAVORABLE
452319,632817,405,0.1223021583,DESFAVORABLE
141215,148862,232,0.6521400778,FAVORABLE
61154,1146591,405,0.1223021583,DESFAVORABLE
215405,239548,405,0.1223021583,DESFAVORABLE
281484,355639,115,0.3647058824,DESFAVORABLE
301443,395494,433,0.6574074074,FAVORABLE
503521,729552,356,0.4208037825,DESFAVORABLE
617096,936813,405,0.1223021583,DESFAVORABLE
602824,917778,124,0.277486911,DESFAVORABLE
586683,897273,124,0.277486911,DESFAVORABLE
456152,639632,115,0.3647058824,DESFAVORABLE
621088,946314,124,0.277486911,DESFAVORABLE
350442,48340,405,0.1223021583,DESFAVORABLE
27328,1062869,356,0.4208037825,DESFAVORABLE
291162,374363,405,0.1223021583,DESFAVORABLE
586317,896750,124,0.3942857143,DESFAVORABLE
244143,280296,114,0.2547425474,DESFAVORABLE
218051,243726,405,0.3390342052,DESFAVORABLE
546102,818017,405,0.1223021583,DESFAVORABLE
85273,121102,407,0.6521400778,FAVORABLE
252013,301549,405,0.1223021583,DESFAVORABLE
216166,241094,405,0.1223021583,DESFAVORABLE
278815,350762,115,0.3647058824,DESFAVORABLE
191430,205529,356,0.4208037825,DESFAVORABLE
534925,795501,356,0.2981651376,DESFAVORABLE
246452,286265,310,0.6521400778,FAVORABLE
254193,307560,309,0.6521400778,FAVORABLE
541759,809315,115,0.3647058824,DESFAVORABLE
161805,175679,114,0.2547425474,DESFAVORABLE
519536,763297,124,0.3942857143,DESFAVORABLE
606748,923261,405,0.3390342052,DESFAVORABLE
452245,632744,405,0.1223021583,DESFAVORABLE
284670,361750,405,0.1223021583,DESFAVORABLE
43405,1100515,356,0.2981651376,DESFAVORABLE
492705,710121,433,0.357827476,DESFAVORABLE
641859,998567,124,0.277486911,DESFAVORABLE
520712,765894,356,0.2981651376,DESFAVORABLE
5513,101327,232,0.6521400778,FAVORABLE
191121,205412,356,0.4208037825,DESFAVORABLE
276774,347107,115,0.3647058824,DESFAVORABLE
536720,79916,125,0.6521400778,FAVORABLE
609476,926256,405,0.1223021583,DESFAVORABLE
532556,790705,405,0.1223021583,DESFAVORABLE
71193,1172127,356,0.2981651376,DESFAVORABLE
252535,303197,209,0.6521400778,FAVORABLE
185863,2030571,124,0.277486911,DESFAVORABLE
322878,434756,356,0.2981651376,DESFAVORABLE
78414,119503,246,0.6521400778,FAVORABLE
186466,2033202,356,0.2981651376,DESFAVORABLE
465055,656873,405,0.3390342052,DESFAVORABLE
618852,940773,405,0.3390342052,DESFAVORABLE
567664,860903,356,0.2981651376,DESFAVORABLE
573323,87282,124,0.277486911,DESFAVORABLE
567806,861478,348,1,FAVORABLE
114221,1304668,405,0.3390342052,DESFAVORABLE
427049,599479,114,0.2547425474,DESFAVORABLE
439460,619048,114,0.2547425474,DESFAVORABLE
15280,1035129,356,0.4208037825,DESFAVORABLE
401812,560673,114,0.2547425474,DESFAVORABLE
375611,526595,405,0.3390342052,DESFAVORABLE
88180,121752,415,0.6521400778,FAVORABLE
502836,728289,405,0.3390342052,DESFAVORABLE
631991,973667,405,0.3390342052,DESFAVORABLE
159109,173030,114,0.2547425474,DESFAVORABLE
2314,1005987,405,0.3390342052,DESFAVORABLE
269271,334280,217,0.8177339901,FAVORABLE
413566,578718,125,0.6521400778,FAVORABLE
259653,31759,405,0.1223021583,DESFAVORABLE
522336,769043,405,0.1223021583,DESFAVORABLE
504434,731246,405,0.3390342052,DESFAVORABLE
68329,1165180,405,0.4545454545,DESFAVORABLE
617951,938536,405,0.1223021583,DESFAVORABLE
354604,49040,405,0.1223021583,DESFAVORABLE
397813,553459,157,0.6521400778,FAVORABLE
422738,59348,405,0.1223021583,DESFAVORABLE
95634,1239606,405,0.1223021583,DESFAVORABLE
250659,298279,356,0.2981651376,DESFAVORABLE
262229,322019,227,0.8177339901,FAVORABLE
395335,548452,115,0.3647058824,DESFAVORABLE
277554,348545,114,0.2547425474,DESFAVORABLE
374888,525354,115,0.3647058824,DESFAVORABLE
162573,176418,114,0.2547425474,DESFAVORABLE
337276,461082,405,0.1223021583,DESFAVORABLE
466546,659401,405,0.1223021583,DESFAVORABLE
415736,582383,405,0.1223021583,DESFAVORABLE
344733,474237,405,0.1223021583,DESFAVORABLE
481502,689365,405,0.1223021583,DESFAVORABLE
250537,297909,356,0.2981651376,DESFAVORABLE
25082,1057626,405,0.1223021583,DESFAVORABLE
204512,223212,366,0.8177339901,FAVORABLE
137051,142119,404,0.6521400778,FAVORABLE
618611,940169,124,0.277486911,DESFAVORABLE
189795,2048075,356,0.2981651376,DESFAVORABLE
461855,651132,115,0.3647058824,DESFAVORABLE
122527,1335948,405,0.3390342052,DESFAVORABLE
216964,242492,405,0.1223021583,DESFAVORABLE
95039,1238030,405,0.1223021583,DESFAVORABLE
540435,806489,55,0.6521400778,FAVORABLE
624629,955751,356,0.2981651376,DESFAVORABLE
487157,699834,152,0.8177339901,FAVORABLE
621679,947720,405,0.3390342052,DESFAVORABLE
277411,348271,114,0.2547425474,DESFAVORABLE
290747,373534,204,0.6521400778,FAVORABLE
573246,87268,124,0.3942857143,DESFAVORABLE
449394,629786,405,0.3390342052,DESFAVORABLE
314627,419409,405,0.1223021583,DESFAVORABLE
128672,1363940,405,0.1223021583,DESFAVORABLE
12092,1027438,356,0.4208037825,DESFAVORABLE
388449,541037,405,0.1223021583,DESFAVORABLE
213634,236351,114,0.2547425474,DESFAVORABLE
472190,670097,405,0.3390342052,DESFAVORABLE
374820,525223,356,0.4208037825,DESFAVORABLE
152366,166361,115,0.3647058824,DESFAVORABLE
174095,192902,115,0.3647058824,DESFAVORABLE
89601,1220873,405,0.3846153846,DESFAVORABLE
430318,605452,309,0.6521400778,FAVORABLE
258469,315435,232,0.6521400778,FAVORABLE
470490,666790,405,0.1223021583,DESFAVORABLE
243259,278927,227,0.6521400778,FAVORABLE
454826,637350,405,0.3390342052,DESFAVORABLE
69042,1166917,405,0.1223021583,DESFAVORABLE
52635,112455,154,0.6521400778,FAVORABLE
191069,2053781,356,0.2981651376,DESFAVORABLE
368552,514494,405,0.1223021583,DESFAVORABLE
273129,340978,433,0.357827476,DESFAVORABLE
2478,1006260,405,0.1223021583,DESFAVORABLE
251793,30101,220,0.224137931,DESFAVORABLE
369182,515570,433,0.6574074074,FAVORABLE
572327,870721,356,0.2981651376,DESFAVORABLE
309543,41021,405,0.1223021583,DESFAVORABLE
143784,153838,201,0.8177339901,FAVORABLE
417073,584812,426,0.6521400778,FAVORABLE
600760,915418,405,0.1223021583,DESFAVORABLE
388325,540917,405,0.3390342052,DESFAVORABLE
528557,78179,125,0.6521400778,FAVORABLE
600684,915342,405,0.1223021583,DESFAVORABLE
126746,135607,433,0.7142857143,FAVORABLE
526167,776840,356,0.4208037825,DESFAVORABLE
404548,566771,356,0.2981651376,DESFAVORABLE
65969,1158710,405,0.3390342052,DESFAVORABLE
225608,251653,405,0.1223021583,DESFAVORABLE
132860,1384079,405,0.3390342052,DESFAVORABLE
578441,882546,405,0.3390342052,DESFAVORABLE
230336,259050,220,0.224137931,DESFAVORABLE
378214,530538,405,0.1223021583,DESFAVORABLE
342212,469917,356,0.6363636364,FAVORABLE
206174,225285,348,0.6521400778,FAVORABLE
357618,495624,115,0.3647058824,DESFAVORABLE
411565,576425,125,0.6521400778,FAVORABLE
25740,1059125,405,0.3390342052,DESFAVORABLE
620929,946001,158,0.8177339901,FAVORABLE
413623,578788,125,0.6521400778,FAVORABLE
3107,1007808,405,0.1223021583,DESFAVORABLE
635627,982553,124,0.277486911,DESFAVORABLE
180177,2001546,405,0.1223021583,DESFAVORABLE
420919,591537,405,0.1223021583,DESFAVORABLE
340384,466824,356,0.4208037825,DESFAVORABLE
140761,148235,426,0.8177339901,FAVORABLE
592709,906800,405,0.1223021583,DESFAVORABLE
393669,546316,405,0.1223021583,DESFAVORABLE
216876,242301,405,0.1223021583,DESFAVORABLE
478095,682516,356,0.2981651376,DESFAVORABLE
273622,34178,158,0.6521400778,FAVORABLE
619931,943384,405,0.1223021583,DESFAVORABLE
403795,564920,115,0.3647058824,DESFAVORABLE
79840,1199004,232,0.6521400778,FAVORABLE
511886,746743,433,0.357827476,DESFAVORABLE
108828,1284343,405,0.4,DESFAVORABLE
578651,882895,405,0.1223021583,DESFAVORABLE
89656,1221039,356,0.2981651376,DESFAVORABLE
24419,1056204,356,0.4208037825,DESFAVORABLE
115697,1310228,356,0.2981651376,DESFAVORABLE
281075,354812,356,0.2981651376,DESFAVORABLE
320130,429417,433,0.357827476,DESFAVORABLE
132120,1380855,405,0.1223021583,DESFAVORABLE
56127,1133829,115,0.3647058824,DESFAVORABLE
319345,427681,433,0.357827476,DESFAVORABLE
38905,108963,401,0.8177339901,FAVORABLE
31159,1073117,433,0.357827476,DESFAVORABLE
455714,638814,405,0.1223021583,DESFAVORABLE
239683,274045,114,0.2547425474,DESFAVORABLE
585959,896282,125,0.8177339901,FAVORABLE
85003,121046,415,0.6521400778,FAVORABLE
326389,441504,232,0.6086956522,FAVORABLE
129614,1370211,405,0.3390342052,DESFAVORABLE
210364,231511,309,0.8177339901,FAVORABLE
500078,723533,405,0.1223021583,DESFAVORABLE
545600,81710,124,0.277486911,DESFAVORABLE
218950,244440,405,0.3390342052,DESFAVORABLE
492699,710111,356,0.2981651376,DESFAVORABLE
27807,1063974,405,0.1223021583,DESFAVORABLE
628878,966460,55,0.8177339901,FAVORABLE
274264,342921,232,0.6086956522,FAVORABLE
36877,1085047,124,0.277486911,DESFAVORABLE
302757,398029,405,0.3390342052,DESFAVORABLE
